title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
100毫升纯荷荷巴油 - 100%天然荷荷巴油，美容佳品 - [美国优质产品],100毫升,2.43,https://cf.shopee.vn/file/9489f3d8731601fd9a22c1b45ec72d38,http://shopee.vn/product/24877332/300596396,Skincare,Facial Oil,IVCN202604245774,201697099,https://detail.1688.com/offer/638262435098.html?spm=a26352.13672862.offerlist.25.70201e62fFVrGn&cosite=-&tracelog=p4p&_p_isad=1&clickid=512de8e94a334284a373505972447681&sessionid=2c29455ca78d40cab9b6f31810f1a79c,1688链接,04-24发布,300596396,2.44 ,五月热招,1
The Ordinary 乳酸 5% / 10% + HA AHA 亮肤去角质霜（英国比尔）,乳酸 10%,2.5,https://cf.shopee.vn/file/vn-11134207-7ras8-m2ezardibgz6b0,http://shopee.vn/product/14393606/264156090,Skincare,Face Scrub & Peel,IVCN202604245776,286854697,https://detail.1688.com/offer/940638818212.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688链接,04-24发布,264156090,22.86 ,五月热招,1
Panasonic ES6850 电动剃须刀 电池供电 干湿两用 ES6850SP251 Pencukur Lelaki,ES6850SP251,19.5,https://cf.shopee.com.my/file/sg-11134201-22120-su1o7cw6ujkv1e,http://shopee.com.my/product/62541355/1591804152,Men's Care,Shaving & Grooming,IVCN202604245778,2425481822,https://detail.1688.com/offer/916175181228.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i33&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-24发布,1591804152,30.40 ,五月热招,1
有机仙人掌籽油,10毫升,0.3,https://cf.shopee.vn/file/vn-11134207-7ra0g-ma3srt7kadm672,http://shopee.vn/product/21714037/1675044847,Skincare,Facial Oil,IVCN202604245780,2675821091,https://detail.1688.com/offer/1011993545666.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-24发布,1675044847,2.10 ,五月热招,3
有机仙人掌籽油,20毫升,0.6,https://cf.shopee.vn/file/vn-11134207-7ra0g-ma3srt7kadm672,http://shopee.vn/product/21714037/1675044847,Skincare,Facial Oil,IVCN202604245782,2675821092,https://detail.1688.com/offer/1011993545666.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-24发布,1675044847,16.02 ,五月热招,3
有机仙人掌籽油,30毫升,1.5,https://cf.shopee.vn/file/vn-11134207-7ra0g-ma3srt7kadm672,http://shopee.vn/product/21714037/1675044847,Skincare,Facial Oil,IVCN202604245784,2675821093,https://detail.1688.com/offer/1011993545666.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-24发布,1675044847,23.22 ,五月热招,3
Hada Labo 极润保湿泡沫洁面乳 160ml by kaibeautycorner,140毫升补充装,9.52,https://cf.shopee.ph/file/ph-11134207-81zto-ml0yrelh0bnlb2,http://shopee.ph/product/75845187/2582759935,Men's Care,Skincare,IVCN202604245788,5799515534,https://detail.1688.com/offer/674138332674.html?spm=a26352.13672862.offerlist.11.884e5000h3TV8Y&offerId=674138332674&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=c3830a09a2fe4d9990d8ab223ecbcb51&skuId=5895452812037&forcePC=1776257108944,1688链接,04-24发布,2582759935,15.47 ,五月热招,1
Wardah 亮白焕彩日间保湿霜 & 水润焕彩日间保湿霜,日夜二合一 30克,6.25,https://cf.shopee.com.my/file/my-11134207-820l6-ml1svpdg1tl3ae,http://shopee.com.my/product/95770004/4005235115,Skincare,Facial Moisturizer,IVCN202604245790,9329416754,无同款,1688链接,04-24发布,4005235115,7.92 ,五月热招,1
Tsubuporon Eye Essence 1.8ML / Night Patch 20G/ Day Patch 12x3 / Special Care Gel 8g - Oily Skin Tag 职人软化小肉芽柔软刷头温感凝胶,夜间补丁 20G,6,https://cf.shopee.com.my/file/3daf15d61a2975d81385276a66a85882,http://shopee.com.my/product/172003807/5609899237,Skincare,Facial Serum & Essence,IVCN202604245792,11122315628,https://detail.1688.com/offer/994119083338.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf8ca8917762433787461132e0f47&token=p7lonqAkNtsUhk7SD98PKa8NfAV9G8PInQiZcKvDrM8lS044HlNmDSuEzLLuDKO%2B,1688链接,04-24发布,5609899237,41.69 ,五月热招,1
INKEY List 视黄醇/咖啡因眼霜 15ml（英国价格） - 抗黑眼圈和抗衰老眼霜,亮白霜,14.2,https://cf.shopee.vn/file/vn-11134207-7ras8-m2kdn541gi44e7,http://shopee.vn/product/14393606/5606795504,Skincare,Eye Treatment,IVCN202604245794,13698938537,https://detail.1688.com/offer/945990953110.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b9de517762434365875014e0f01&token=tzhMPYDzCcLA0U0XBUPX8Y1DXH1AmczTOU1ZVBnZmbK4DuRIdneOT4wiRUlFqCHY,1688链接,04-24发布,5606795504,82.88 ,五月热招,1
